Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Leluaitta Varastomyymälä,Tinks Juhlakauppa,Wolt
sydan-satiiniruusukulta-foliopallo,Sydän Satiiniruusukulta | Foliopallo,Foliopallot,Foliopallo ilman täyttöä,,,,,3682501,,,not stocked,3,not stocked
sydan-satiiniruusukulta-foliopallo,Sydän Satiiniruusukulta | Foliopallo,Foliopallot,Foliopallo Heliumtäytöllä,,,,,3682501,,,not stocked,-2,not stocked
paw-patrol-movie-themed-vehicles-hahmo1,Paw Patrol Movie Themed Vehicles -Rolle,Title,Default Title,,,,,6060298,,,not stocked,0,not stocked
paw-patrol-movie-themed-vehicles-hahmo2,Paw Patrol Movie Themed Vehicles -Samppa,Title,Default Title,,,,,6060298,,,not stocked,0,not stocked
paw-patrol-movie-themed-vehicles-hahmo3,Paw Patrol Movie Themed Vehicles -Rekku,Title,Default Title,,,,,6060298,,,not stocked,0,not stocked
paw-patrol-movie-themed-vehicles-hahmo4,Paw Patrol Movie Themed Vehicles -Kaja,Title,Default Title,,,,,6060298,,,not stocked,0,not stocked
paw-patrol-movie-themed-vehicles-hahmo5,Paw Patrol Movie Themed Vehicles -Vainu,Title,Default Title,,,,,6060298,,,not stocked,0,not stocked
paw-patrol-movie-themed-vehicles-hahmo6,Paw Patrol Movie Themed Vehicles -Toma,Title,Default Title,,,,,6060298,,,not stocked,0,not stocked
kapel-piirustuslehtio-a4-30-120-g,Kapel Piirustuslehtiö A4/30 120 g,Title,Default Title,,,,,281405,,,not stocked,0,not stocked
kapel-lyijykyna-kumipaalla-6-kpl,Kapel Lyijykynä kumipäällä 6 kpl,Title,Default Title,,,,,285358,,,not stocked,3,not stocked
kapel-pyyhekumi-2-kpl-paketti,Kapel Pyyhekumi 2 kpl paketti,Title,Default Title,,,,,285368,,,not stocked,1,not stocked
kapel-liimapuikko-3-kpl,"Liimapuikko 3 kpl, Kapel",Title,Default Title,,,,,288846,,,not stocked,9,not stocked
kapel-skrappipaperi-15x15-cm-40-arkkia-pkt-lajitelma,Kapel Skräppipaperi 15x15 cm 40 arkkia/pkt lajitelma,Title,Default Title,,,,,293448,,,not stocked,1,not stocked
fiskars-classic-lasten-sakset-vasenkatiset-14-cm,Fiskars Classic Lasten sakset vasenkätiset 13 cm,Title,Default Title,,,,,311591,,,not stocked,0,not stocked
fiskars-classic-lasten-sakset-oikeakatiset-13-cm,Fiskars Classic Lasten sakset oikeakätiset 13 cm,Title,Default Title,,,,,304847,,,not stocked,3,not stocked
fiskars-kidzors-saksisetti-laukussa-6-pack,Fiskars Kidzors Kuviosaksisetti laukussa 6-pack,Title,Default Title,,,,,304963,,,not stocked,0,not stocked
atom-outdoors-makuupussi-adventure-light-6-c-lasten-lajitelma,Atom Outdoors Makuupussi Adventure light -6°c lasten lajitelma,Title,Default Title,,,,,311630,,,not stocked,0,not stocked
juomapullo-lasten-500-ml-lajitelma-atom,Juomapullo lasten 500 ml lajitelma | Atom,Väri,Sininen,,,,,603780,,,not stocked,0,not stocked
juomapullo-lasten-500-ml-lajitelma-atom,Juomapullo lasten 500 ml lajitelma | Atom,Väri,Pinkki,,,,,603780,,,not stocked,0,not stocked
ilmapallo-metalli-hopea-8-kpl,Ilmapallo metalli hopea 8 kpl,Title,Default Title,,,,,,,,not stocked,0,not stocked
ilmapallo-metalli-kulta-8-kpl,Ilmapallo metalli kulta 8 kpl,Title,Default Title,,,,,,,,not stocked,0,not stocked
ilmapallo-lajitelma-helmiais-8-kpl,Ilmapallo lajitelma helmiäis 8 kpl,Title,Default Title,,,,,,,,not stocked,0,not stocked
kartonkimuki-25-cl-yksisarvinen-8-kpl,Kartonkimuki 25 cl Yksisarvinen 8 kpl,Title,Default Title,,,,,,,,not stocked,0,not stocked
lautasliina-33-cm-dinosaurus-20-kpl,Lautasliina 33 cm dinosaurus 20 kpl,Title,Default Title,,,,,,,,not stocked,0,not stocked
kartonkimuki-25-cl-dinosaurus-8-kpl,Kartonkimuki 25 cl dinosaurus 8 kpl,Title,Default Title,,,,,,,,not stocked,0,not stocked
ilmapallo-confetti-vaaleanpunainen-sydan-4-kpl,Ilmapallo Confetti Vaaleanpunainen Sydän 4 kpl,Title,Default Title,,,,,,,,not stocked,0,not stocked
mehupilli-paperinen-yksisarvinen-25-kpl,Mehupilli paperinen yksisarvinen 25 kpl,Title,Default Title,,,,,,,,not stocked,0,not stocked
heijastin-yksisarvinen,Heijastin Yksisarvinen,Title,Default Title,,,,,,,,not stocked,0,not stocked
heijastin-led-jalkapallo,Heijastin Led Jalkapallo,Title,Default Title,,,,,,,,not stocked,0,not stocked
heijastin-nalle,Heijastin Nalle,Title,Default Title,,,,,,,,not stocked,0,not stocked
lahjapaperi-ryhma-hau,Lahjapaperi Ryhmä Hau,Title,Default Title,,,,,6111451,,,not stocked,-2,not stocked
lahjakassi-l-f-futis,Lahjakassi L/F Futis,Title,Default Title,,,,,,,,not stocked,0,not stocked
lahjakassi-l-f-30x40x12cm-kultaglitteri-satiinisanka,"Lahjakassi L/F 30x40x12cm kultaglitteri, satiinisanka",Title,Default Title,,,,,,,,not stocked,0,not stocked
lahjakassi-m-e-pentik-metsanvaki,Lahjakassi M/E Pentik Metsänväki,Title,Default Title,,,,,,,,not stocked,0,not stocked
lahjakassi-l-f-pentik-metsanvaki,Lahjakassi L/F Pentik Metsänväki,Title,Default Title,,,,,6630812,,,not stocked,0,not stocked
lahjakassi-l-e-koirat-26-32-12cm-satiinisanka,"Lahjakassi L/E koirat 26*32*12cm, satiinisanka",Title,Default Title,,,,,6630850,,,not stocked,0,not stocked
lahjakassi-m-f-ryhma-hau-17-5-x-22-9-x-9-8cm,"Lahjakassi M/F Ryhmä Hau 17,5 x 22,9 x 9,8cm",Title,Default Title,,,,,6630887,,,not stocked,0,not stocked
lahjakassi-l-g-ryhma-hau-ryhma-hau,Lahjakassi L/G Ryhmä Hau Ryhmä Hau,Title,Default Title,,,,,6630888,,,not stocked,0,not stocked
lahjakassi-xl-h-ryhma-hau-33-x-45-7-x-10cm,"Lahjakassi XL/H Ryhmä Hau 33 x 45,7 x 10cm",Title,Default Title,,,,,6630889,,,not stocked,0,not stocked
lahjakassi-m-d,Lahjakassi M/D,Title,Default Title,,,,,6641022,,,not stocked,5,not stocked
